ProcessDefId,DatabASeName,DatabASeType,UserId,PWD,TABLEName,ExtObjID,HostName,Service,Port,SecurityFlag,SORTINGCOLUMN,ProcessVariantId,HistoryTableName
"1","online","local","","","RB_PL_PS_EXTTABLE","1",""," ","0","Y","","0",""
"2","online","local","","","RB_PL_PD_EXTTABLE","1",""," ","0","Y","","0",""
"3","online","local","","","RB_PL_IPDR_EXTTABLE","1",""," ","0","Y","","0",""
"4","online","local","","","RB_PL_ES_EXTTABLE","1",""," ","0","Y","","0",""
"5","online","local","","","RB_GSR_LCOL_EXTTABLE","1",""," ","0","Y","","0",""
"6","online","local","","","RB_PL_CLD_EXTTABLE","1",""," ","0","Y","","0",""
"7","online","local","","","RB_CSR_RR_EXTTABLE","1",""," ","0","Y","","0",""
"8","online","local","","","RB_CSR_OCC_EXTTABLE","1",""," ","0","Y","","0",""
"9","online","local","","","RB_CSR_MISC_EXTTABLE","1",""," ","0","Y","","0",""
"10","online","local","","","RB_CSR_CCC_EXTTABLE","1",""," ","0","Y","","0",""
"11","online","local","","","RB_CSR_CCB_EXTTABLE","1",""," ","0","Y","","0",""
"12","online","local","","","RB_CSR_CBR_EXTTABLE","1",""," ","0","Y","","0",""
"13","online","local","","","RB_CSR_BT_EXTTABLE","1",""," ","0","Y","","0",""
"14","online","local","","","RB_EXCESS_AUTH_REQ_OUT_CD","1",""," ","0","Y","","0",""
"15","online","local","","","RB_EXCESS_AUTH_REQUEST","1",""," ","0","Y","","0",""
"16","online","local","","","RB_DSR_CBR_EXTTABLE","1",""," ","0","Y","","0",""
"17","online","local","","","RB_DSR_DCB_EXTTABLE","1",""," ","0","Y","","0",""
"18","online","local","","","RB_DSR_MISC_EXTTABLE","1",""," ","0","Y","","0",""
"19","online","local","","","RB_DSR_ODC_EXTTABLE","1",""," ","0","Y","","0",""
"20","online","local","","","RB_SRM_EXTTABLE","1",""," ","0","Y","","0",""
"21","online","local","","","RB_AO_EXTTABLE","1",""," ","0","Y","","0",""
"22","online","local","","","NG_TT_EXT_TABLE","1",""," ","0","Y","","0",""
"23","online","local","","","RB_TL_EXTTABLE","1",""," ","0","Y","","0",""
"24","online","local","","","RB_CU_EXTTABLE","1",""," ","0","Y","","0",""
"25","online","local","","","RB_CAC_EXTTABLE","1",""," ","0","Y","","0",""
"26","online","local","","","RB_SRB_EXTTABLE","1",""," ","0","Y","","0",""
"27","online","local","","","rb_DA_Exttable","1",""," ","0","Y","","0",""
"28","online","local","","","RB_RAO_EXTTABLE","1",""," ","0","Y","","0",""
"29","online","local","","","RB_RMT_EXTTABLE","1",""," ","0","Y","","0",""
"30","online","local","","","RB_BAIS_EXTTABLE","1",""," ","0","Y","","0",""
"31","online","local","","","RB_SRO_EXTTABLE","1",""," ","0","Y","","0",""
"32","online","local","","","RB_TF_EXTTABLE","1",""," ","0","Y","","0",""
"33","online","local","","","RB_EPP_EXTTABLE","1",""," ","0","Y","","0",""
"34","online","local","","","RB_RBL_EXTTABLE","1",""," ","0","Y","","0",""
"35","online","local","","","RB_OECD_EXTTABLE","1",""," ","0","Y","","0",""
"36","online","local","","","RB_TWC_EXTTABLE","1",""," ","0","Y","","0",""
